state,primary_cuisine,merchant_count,total_merchants_in_state,market_share_pct,avg_stars,avg_reviews_per_month,avg_checkins,avg_composite_score,total_reviews_in_segment,open_merchant_count,elite_merchant_share,cuisine_rank_in_state
NY,Thai,20,205,9.76,3.2,0.0,0.0,,0.0,8.0,0.2,6
NY,Coffee & Tea,18,205,8.78,3.17,0.0,0.0,,0.0,10.0,0.2222,7
NY,Italian,14,205,6.83,3.21,0.0,0.0,,0.0,7.0,0.0714,8
NY,Mexican,14,205,6.83,2.82,0.0,0.0,,0.0,6.0,0.2857,8
NY,American (New),13,205,6.34,3.0,0.0,0.0,,0.0,5.0,0.2308,10
PA,Pizza,23,198,11.62,3.11,0.0,0.0,,0.0,9.0,0.2609,1
PA,American (New),22,198,11.11,2.57,0.0,0.0,,0.0,9.0,0.2727,2
PA,Burgers,22,198,11.11,2.82,0.0,0.0,,0.0,12.0,0.1364,2
PA,Coffee & Tea,21,198,10.61,2.74,0.0,0.0,,0.0,13.0,0.1905,4
PA,Sushi,21,198,10.61,3.14,0.0,0.0,,0.0,7.0,0.0476,4
PA,Italian,21,198,10.61,2.95,0.0,0.0,,0.0,12.0,0.1905,4
PA,Chinese,19,198,9.6,2.42,0.0,0.0,,0.0,11.0,0.2105,7
PA,Seafood,17,198,8.59,2.76,0.0,0.0,,0.0,7.0,0.3529,8
PA,Mexican,16,198,8.08,3.41,0.0,0.0,,0.0,5.0,0.125,9
PA,Thai,16,198,8.08,2.38,0.0,0.0,,0.0,7.0,0.1875,9
WA,Pizza,24,178,13.48,2.83,0.0,0.0,,0.0,12.0,0.125,1
WA,Thai,22,178,12.36,2.89,0.0,0.0,,0.0,10.0,0.1818,2
WA,Mexican,21,178,11.8,3.21,0.0,0.0,,0.0,10.0,0.2857,3
WA,American (New),19,178,10.67,2.71,0.0,0.0,,0.0,8.0,0.2105,4
WA,Chinese,19,178,10.67,2.61,0.0,0.0,,0.0,10.0,0.2105,4
WA,Sushi,18,178,10.11,3.33,0.0,0.0,,0.0,8.0,0.0556,6
WA,Coffee & Tea,17,178,9.55,2.71,0.0,0.0,,0.0,11.0,0.1176,7
WA,Italian,15,178,8.43,3.4,0.0,0.0,,0.0,7.0,0.0667,8
WA,Burgers,13,178,7.3,3.35,0.0,0.0,,0.0,3.0,0.0769,9
WA,Seafood,10,178,5.62,3.4,0.0,0.0,,0.0,6.0,0.3,10
