order_id,business_id,dasher_id,order_timestamp,order_date,order_month,order_year,order_hour,order_day_of_week,estimated_delivery_min,actual_delivery_min,delivery_delta_min,is_on_time,order_total_usd,delivery_fee_usd,order_status,_is_synthetic
1e6d4636-1b35-44f4-a686-661a4f79279f,d1b7b24b-4641-450e-b4e8-47092e175290,DASHER_04906,2022-11-10 13:10:00,2022-11-10,2022-11-01,2022,13,Thursday,21,16.0,-5.0,True,27.16,7.49,delivered,True
def05ad0-8bf1-4516-8ee3-728cea446b31,27df9f59-ff34-4400-86d8-a118ed563a65,DASHER_00566,2023-09-22 10:15:00,2023-09-22,2023-09-01,2023,10,Friday,36,56.0,20.0,False,8.0,7.84,delivered,True
b1ea7f71-882d-4d6c-953c-a85e49ef7ce1,a2d81c0b-bb4e-4aac-9d58-c0f9a40be091,DASHER_04969,2024-12-26 20:08:00,2024-12-26,2024-12-01,2024,20,Thursday,24,10.0,-24.0,True,19.33,4.77,delivered,True
e27899d3-dce3-478e-8bc0-b6dfe06fe338,ff23761c-b19c-47b5-835e-fba3c9949a80,DASHER_03698,2023-02-16 19:25:00,2023-02-16,2023-02-01,2023,19,Thursday,37,54.0,17.0,False,27.84,1.84,delivered,True
7671be42-b7d7-4f7c-8af9-b4528028772e,d9dbed11-36ab-48ae-aa8e-6e7e69ec58d6,DASHER_00482,2023-04-06 06:01:00,2023-04-06,2023-04-01,2023,6,Thursday,30,26.0,-4.0,True,32.8,7.01,delivered,True
3880decb-f876-40a1-a7ef-c709c6559c12,d21af797-41be-4869-8354-44ecd391c8e2,DASHER_04677,2022-05-26 17:17:00,2022-05-26,2022-05-01,2022,17,Thursday,52,48.0,-4.0,True,19.4,5.02,delivered,True
aecaccd1-c644-427f-beca-8dc0961aac95,095b1676-c952-490d-ab42-6c8eda508483,DASHER_03469,2023-05-13 20:51:00,2023-05-13,2023-05-01,2023,20,Saturday,32,34.0,2.0,True,8.0,1.37,delivered,True
026045e9-37a7-4257-990c-67cf8bf0d274,5521b148-df6d-4c88-9bd6-83809ff14848,DASHER_04393,2022-07-21 06:46:00,2022-07-21,2022-07-01,2022,6,Thursday,43,31.0,-12.0,True,53.76,4.13,delivered,True
bd9ca7a9-16d0-4b1a-b4bb-7b84cf306892,907086a2-cf58-43c1-8fa8-8d1779f622d2,DASHER_04508,2024-05-14 09:29:00,2024-05-14,2024-05-01,2024,9,Tuesday,35,62.0,27.0,False,46.3,4.77,delivered,True
53690dcc-259f-4c00-906c-bf67f4c35f22,e8073e07-fe87-4806-9ec3-845a997c094c,DASHER_01751,2022-01-31 22:59:00,2022-01-31,2022-01-01,2022,22,Monday,41,41.0,0.0,True,17.49,7.04,delivered,True
58f9bebe-9e3b-4836-ad31-7a840c8f48e7,764fe58e-7af2-445f-b3be-68a8d8c39bcb,DASHER_02336,2022-05-01 09:00:00,2022-05-01,2022-05-01,2022,9,Sunday,41,41.0,0.0,True,8.0,7.96,delivered,True
f2a4395b-21b8-45e8-b588-95bc44d71a9c,23d4f074-c094-4741-a523-b2fa964b54f9,DASHER_02569,2024-09-23 09:18:00,2024-09-23,2024-09-01,2024,9,Monday,44,44.0,0.0,True,33.6,1.39,delivered,True
ce56a0c2-d9b0-4653-bc8e-8c5635daefee,6d961427-22b7-4e5e-b113-eb102eacac22,DASHER_01522,2024-09-03 16:54:00,2024-09-03,2024-09-01,2024,16,Tuesday,32,32.0,0.0,True,33.61,7.02,delivered,True
a3036e50-815b-4493-ae70-678406c4a6c5,e8b0ea68-73d4-42b3-b187-a603c5c9a28b,DASHER_03434,2024-04-06 08:56:00,2024-04-06,2024-04-01,2024,8,Saturday,36,,,,20.14,5.59,cancelled,True
e15ce999-0d6d-4ff4-ada8-5df097f7545e,36511ffd-bb68-4b99-91be-d0300986f517,DASHER_01072,2024-12-06 12:16:00,2024-12-06,2024-12-01,2024,12,Friday,38,56.0,18.0,False,22.51,3.2,delivered,True
5df250ef-c7ca-4399-88e8-74d53734b422,6a4a0483-851e-4c7c-a70a-5e55f780ed7e,DASHER_04144,2022-05-29 00:39:00,2022-05-29,2022-05-01,2022,0,Sunday,29,68.0,39.0,False,28.01,2.85,delivered,True
b9e1848f-c6aa-481e-b275-ac219c792fb6,fcf1ec7f-be2d-45ab-affe-713d23895f97,DASHER_02478,2023-12-16 21:56:00,2023-12-16,2023-12-01,2023,21,Saturday,35,44.0,9.0,False,8.0,5.57,delivered,True
bf0a35a5-1c5c-421f-bc7a-192e82248a2c,bae0cc16-f75c-4f94-9dc5-71a80fed7282,DASHER_02166,2022-01-17 19:35:00,2022-01-17,2022-01-01,2022,19,Monday,19,14.0,-5.0,True,49.58,1.8,delivered,True
2052edea-bef5-40a4-a2be-a10f8248a853,0ffbece7-b236-4383-b170-ef0e5fb8b7cc,DASHER_02162,2022-08-08 20:09:00,2022-08-08,2022-08-01,2022,20,Monday,33,49.0,16.0,False,17.1,7.35,delivered,True
43a80f53-dafa-49c1-9580-7f02b5dc26fa,a49528a7-612d-4dee-abde-5874cf249631,DASHER_02145,2022-04-15 07:27:00,2022-04-15,2022-04-01,2022,7,Friday,34,35.0,1.0,True,24.54,2.12,delivered,True
2218fb17-7c9b-47ad-95d7-07ae93f734ab,a46514ad-9c13-4471-8073-6afd9372d5e3,DASHER_01221,2024-06-23 17:27:00,2024-06-23,2024-06-01,2024,17,Sunday,31,29.0,-2.0,True,8.0,5.07,delivered,True
cfbd08fe-0eb8-414b-a70f-94c82a2f1a4c,80fa5fc6-09fd-427a-970e-8383d450afc8,DASHER_00326,2022-10-31 15:02:00,2022-10-31,2022-10-01,2022,15,Monday,30,21.0,-9.0,True,58.49,7.28,delivered,True
1a30affb-b35b-41b5-87fb-57a7d48625b2,9cc8add9-ff58-4679-85c2-22952f6415c3,DASHER_01266,2023-03-07 19:42:00,2023-03-07,2023-03-01,2023,19,Tuesday,46,58.0,12.0,False,38.35,2.13,delivered,True
9cac8583-38bb-4bf6-979e-4dbfbe206faf,2bd1c419-623d-4538-a0b6-8dd2eeee934b,DASHER_02032,2022-12-29 21:01:00,2022-12-29,2022-12-01,2022,21,Thursday,32,43.0,11.0,False,59.29,2.86,delivered,True
f229b798-224d-486a-b689-cf4cd577d31f,e0fb9dda-b0fd-498c-9787-dfb038d347ec,DASHER_02864,2022-08-10 14:02:00,2022-08-10,2022-08-01,2022,14,Wednesday,38,32.0,-6.0,True,19.42,2.58,delivered,True
8d2123a2-3be5-4f57-9d77-bd1aebace4e8,f5af287b-b3f0-46ef-ab9a-11ef025dea2d,DASHER_02876,2022-02-18 19:25:00,2022-02-18,2022-02-01,2022,19,Friday,48,37.0,-11.0,True,54.93,5.48,delivered,True
e71954cb-9e40-48b4-8f76-4b7a194f2e8a,e8e92be2-af99-4a86-bbe2-6b085847e77d,DASHER_02139,2024-03-29 19:53:00,2024-03-29,2024-03-01,2024,19,Friday,16,10.0,-6.0,True,45.18,2.85,delivered,True
99e742f0-057a-45c4-802c-0f5cc80ba7bf,f2912ec7-236d-4c2c-a51a-3ddb8c66961f,DASHER_00947,2022-08-11 18:22:00,2022-08-11,2022-08-01,2022,18,Thursday,53,52.0,-1.0,True,15.6,3.69,delivered,True
fc72847c-7d0c-487f-847d-f64f984861ed,d85d6b64-796f-4ef6-bceb-89a17251c012,DASHER_01614,2023-01-25 11:45:00,2023-01-25,2023-01-01,2023,11,Wednesday,26,31.0,5.0,True,24.74,5.64,delivered,True
3459fb24-7a61-41e5-8b7a-30eac68c64b5,b18b3960-bad9-455c-9652-fa70314346fd,DASHER_03345,2023-11-08 18:42:00,2023-11-08,2023-11-01,2023,18,Wednesday,37,48.0,11.0,False,8.97,3.27,delivered,True
540fe3fa-7c82-4e3c-b879-a318201dad64,fe223133-da99-40aa-a11b-ba60e4dffca6,DASHER_01425,2023-08-29 17:12:00,2023-08-29,2023-08-01,2023,17,Tuesday,18,31.0,13.0,False,19.01,4.83,delivered,True
3a5fa2e6-b091-4448-b41b-57b50a757e6a,13215552-218d-449a-8f4e-2a9073b62b1b,DASHER_03619,2022-01-01 12:13:00,2022-01-01,2022-01-01,2022,12,Saturday,30,16.0,-14.0,True,36.92,4.09,delivered,True
799417be-72cd-4a40-9c4a-22f0aaf44afc,426ad328-4250-42d0-97c8-8e6de697fe0d,DASHER_02324,2023-03-14 17:50:00,2023-03-14,2023-03-01,2023,17,Tuesday,46,34.0,-12.0,True,8.0,3.34,delivered,True
e040fc6f-eeb7-40c2-978d-383e373fb1de,18842fb1-e4d5-4217-a02d-aa648ecfe758,DASHER_00596,2023-04-27 19:14:00,2023-04-27,2023-04-01,2023,19,Thursday,33,35.0,2.0,True,20.56,4.18,delivered,True
dd45a979-a51e-47ba-ba0f-bcc60642b8bb,c0c0ecf5-abda-4d35-9a2e-40eb13306bfe,DASHER_00873,2023-02-03 19:24:00,2023-02-03,2023-02-01,2023,19,Friday,29,29.0,0.0,True,30.37,6.62,delivered,True
25f2fced-fb8f-4968-b006-d8c77f533b6f,24a3c021-5dd9-47b2-a7ca-54a3ebdbd59d,DASHER_03806,2024-11-26 16:35:00,2024-11-26,2024-11-01,2024,16,Tuesday,29,29.0,0.0,True,57.63,5.66,delivered,True
4fd07955-69d4-4319-a5ac-0ca579310867,5bb9c93a-9812-4406-b344-50656fe14af5,DASHER_04488,2023-10-12 22:57:00,2023-10-12,2023-10-01,2023,22,Thursday,21,28.0,7.0,False,20.17,7.02,delivered,True
100be792-8152-4b36-9f68-6b5c9ef7842c,1edc8afa-0d3f-4d62-a79a-ad57417bd64f,DASHER_01959,2024-07-10 11:15:00,2024-07-10,2024-07-01,2024,11,Wednesday,36,41.0,5.0,True,18.29,2.91,delivered,True
063fa292-907b-411e-a543-4b6a854fe038,793db73c-2384-41c3-b575-3f11e03c95b0,DASHER_01235,2022-06-08 19:15:00,2022-06-08,2022-06-01,2022,19,Wednesday,34,44.0,10.0,False,31.21,5.93,delivered,True
bf44ddb9-3307-4fc5-91e0-cf85f1f9370b,c68c5373-ace0-4248-9b6c-d11f9a728a46,DASHER_03190,2022-05-12 14:21:00,2022-05-12,2022-05-01,2022,14,Thursday,47,36.0,-11.0,True,24.39,7.32,delivered,True
d9596ad8-6030-4f0d-92ff-a3794eb12a70,759dd5ad-889c-4959-b255-cd76834b8c25,DASHER_03194,2022-02-10 21:48:00,2022-02-10,2022-02-01,2022,21,Thursday,26,20.0,-6.0,True,50.98,3.92,delivered,True
2f0c2b73-4d65-4dc4-854e-2b7c11119827,e332c60f-fa43-408c-95cc-751ec7688d1a,DASHER_03312,2023-03-28 16:17:00,2023-03-28,2023-03-01,2023,16,Tuesday,19,17.0,-2.0,True,29.93,6.06,delivered,True
85fb7a4f-073d-44a9-90b1-c5d868e0f968,23eb233c-bbb7-41ce-9834-a5cefdc4017a,DASHER_00222,2024-08-15 22:39:00,2024-08-15,2024-08-01,2024,22,Thursday,17,12.0,-5.0,True,42.21,7.06,delivered,True
221486a8-9c9f-4de2-9bfc-cbb93fbdf04a,66a1c33e-074c-4520-9b97-3f62f82238b1,DASHER_03105,2023-01-08 05:24:00,2023-01-08,2023-01-01,2023,5,Sunday,39,33.0,-6.0,True,43.11,2.94,delivered,True
e883f326-2258-455e-b54f-c9362d538caa,2200b213-7fc6-43c2-9f91-76746b5da9d4,DASHER_02866,2024-05-13 11:05:00,2024-05-13,2024-05-01,2024,11,Monday,21,24.0,3.0,True,29.41,7.69,delivered,True
09d56772-7269-42e6-875c-d77587df62ab,0f668b8a-bfd7-4761-a195-43543290414e,DASHER_03879,2022-03-24 20:15:00,2022-03-24,2022-03-01,2022,20,Thursday,37,37.0,0.0,True,31.39,5.68,delivered,True
d4735aef-5a37-45db-814e-bab9c3227daf,ace9f434-cac5-4812-bfd9-871c0b363a0b,DASHER_00938,2023-03-23 16:16:00,2023-03-23,2023-03-01,2023,16,Thursday,35,28.0,-7.0,True,30.06,3.17,delivered,True
46e14da5-75e8-4e17-b55f-33e0e0430808,c9b1e53e-1290-451e-a352-412069e5b535,DASHER_01624,2022-02-22 22:36:00,2022-02-22,2022-02-01,2022,22,Tuesday,30,17.0,-13.0,True,8.0,1.52,delivered,True
0028e268-0568-47d2-8968-aebac49e8b4c,e1695292-3748-495d-a20f-4c2fbf3c6da1,DASHER_04636,2023-05-13 07:49:00,2023-05-13,2023-05-01,2023,7,Saturday,31,48.0,17.0,False,31.32,3.99,delivered,True
66af9206-ecd1-4a24-ab32-8b4ad18016e6,fbcb63e8-74e6-403c-8d31-c537e01c863d,DASHER_03551,2024-01-29 06:41:00,2024-01-29,2024-01-01,2024,6,Monday,27,15.0,-12.0,True,53.03,7.72,delivered,True
570175ee-fb32-428e-bf21-b5a669c743e6,c91f0492-e374-448f-9ff5-59ebeb42f7af,DASHER_04408,2024-07-30 19:27:00,2024-07-30,2024-07-01,2024,19,Tuesday,39,52.0,13.0,False,31.09,6.77,delivered,True
9e7d8e13-00d1-44e9-b1f1-d9b485e6cd74,0960d5ca-f7b4-417a-9c49-1ffedcb84d9b,DASHER_03806,2023-07-04 12:15:00,2023-07-04,2023-07-01,2023,12,Tuesday,26,28.0,2.0,True,22.92,4.98,delivered,True
40aae27f-c70a-43ff-82a9-a1e90d2c46fc,059fb9bb-2f80-4abe-9be9-20619dc5cccd,DASHER_02116,2024-02-16 12:31:00,2024-02-16,2024-02-01,2024,12,Friday,38,32.0,-6.0,True,11.88,5.9,delivered,True
7abd758b-e9a0-44bf-8dd7-6e3f588372b8,0e4ad90d-aaa3-4cb2-b4f9-ef9e683e07ec,DASHER_04548,2023-07-20 17:33:00,2023-07-20,2023-07-01,2023,17,Thursday,48,52.0,4.0,True,26.47,6.3,delivered,True
a05ef014-6787-4107-b5fd-843856f47b4e,8c040945-0167-4512-8953-ec9ffda21a28,DASHER_01993,2024-09-02 18:31:00,2024-09-02,2024-09-01,2024,18,Monday,33,33.0,0.0,True,21.65,4.3,delivered,True
279c0428-0964-4fe8-9f0e-bac8457b0a65,d12493d2-3ec9-477e-982b-59b95212805e,DASHER_02059,2024-12-23 13:47:00,2024-12-23,2024-12-01,2024,13,Monday,44,34.0,-10.0,True,24.15,2.6,delivered,True
1692ce22-5524-4ce4-9cbd-3d9955679edb,fc5b4aa1-b33d-4441-a171-ccaa0b3c1de7,DASHER_03966,2023-01-30 12:47:00,2023-01-30,2023-01-01,2023,12,Monday,21,17.0,-4.0,True,25.18,6.31,delivered,True
8e8bb39e-9c85-4acd-803d-a9480e1ce86a,a7b8ca5c-13c6-42c0-8068-ea10c88436b4,DASHER_04375,2023-08-03 23:53:00,2023-08-03,2023-08-01,2023,23,Thursday,45,47.0,2.0,True,38.62,1.88,delivered,True
886e5dd5-c478-4ab1-ab57-84554f661386,42212f1b-f9b1-4ef9-b351-4fe5f5d68f5b,DASHER_04021,2022-04-04 23:35:00,2022-04-04,2022-04-01,2022,23,Monday,29,56.0,27.0,False,30.38,2.98,delivered,True
5446f94c-cef7-4715-933e-72026349d503,8b1abb2c-7c27-4e3f-8cfc-98dd4c467131,DASHER_00535,2024-09-07 15:11:00,2024-09-07,2024-09-01,2024,15,Saturday,35,43.0,8.0,False,26.04,3.79,delivered,True
d99fae50-b6c8-4c7b-ba1d-cefc50229a51,a5dc9144-4605-4d6e-90b6-450da3437d16,DASHER_00697,2022-06-01 18:43:00,2022-06-01,2022-06-01,2022,18,Wednesday,39,41.0,2.0,True,36.03,6.34,delivered,True
e7884cd6-5cd6-417d-9a9d-66227a9d92db,0df0a013-135b-442b-9e5e-35d2db23196b,DASHER_02501,2023-04-08 20:24:00,2023-04-08,2023-04-01,2023,20,Saturday,34,22.0,-12.0,True,33.46,4.97,delivered,True
06be302e-bda3-410d-9dcc-e1395aa23816,a4ba4a77-e6db-43b2-9aec-9732d40baef5,DASHER_00665,2022-05-04 18:47:00,2022-05-04,2022-05-01,2022,18,Wednesday,46,57.0,11.0,False,33.61,1.52,delivered,True
768202b6-16bd-46e0-8a83-941bcce8c282,327ace53-d67d-4447-a058-fca86dead6b8,DASHER_02316,2022-01-06 14:44:00,2022-01-06,2022-01-01,2022,14,Thursday,39,31.0,-8.0,True,21.58,5.91,delivered,True
583b4156-d414-472a-a1ed-c97568b097bd,cc86ffe0-902e-4790-87df-41573291b731,DASHER_01620,2024-07-18 06:14:00,2024-07-18,2024-07-01,2024,6,Thursday,47,38.0,-9.0,True,11.73,5.52,delivered,True
190fd787-b92b-46f2-a472-03c8680275a9,daffc541-7e3f-4cff-b17f-2da7d6f34a59,DASHER_04662,2023-06-29 20:04:00,2023-06-29,2023-06-01,2023,20,Thursday,39,58.0,19.0,False,38.24,7.44,delivered,True
8c3e5505-1c24-4ab8-a0ea-365f302160d3,912359bb-d1d0-46a5-9f98-ec8634fe780d,DASHER_04045,2024-06-18 08:44:00,2024-06-18,2024-06-01,2024,8,Tuesday,32,43.0,11.0,False,9.78,7.22,delivered,True
ecfa66c3-b0cb-4968-bcc6-318c9da189d8,51d1ccdf-f80e-4399-bf59-2aba16961341,DASHER_04809,2023-10-23 18:01:00,2023-10-23,2023-10-01,2023,18,Monday,39,64.0,25.0,False,49.32,7.65,delivered,True
0ecef2bf-d6c8-4cd4-8158-02465d05b9f2,4b6ff088-0d1b-42b7-9955-1b9401cc3717,DASHER_02278,2023-07-06 18:48:00,2023-07-06,2023-07-01,2023,18,Thursday,35,22.0,-13.0,True,36.81,5.43,delivered,True
13535660-9163-4a01-b605-7ecb9f522723,bd2341f2-01fa-4d80-a040-b050330d13d4,DASHER_01317,2024-10-04 22:30:00,2024-10-04,2024-10-01,2024,22,Friday,44,38.0,-6.0,True,39.53,3.3,delivered,True
60fef2ce-1a91-418f-97f5-51e553ab4de8,67aa8ed2-729f-43e6-852f-373057cc75a6,DASHER_02067,2024-10-11 11:25:00,2024-10-11,2024-10-01,2024,11,Friday,38,25.0,-13.0,True,10.84,3.82,delivered,True
bc124d97-6a25-4f0a-a037-06f90b4e021f,25fca3da-846f-40dc-8206-1d891a1a926b,DASHER_04247,2024-11-19 20:00:00,2024-11-19,2024-11-01,2024,20,Tuesday,53,45.0,-8.0,True,12.81,3.52,delivered,True
ad050cbc-05cf-4a3d-84f6-78eda09e88e4,8c5d5ee6-73b8-44a8-b3cb-29a7017ae18a,DASHER_03589,2024-10-17 18:48:00,2024-10-17,2024-10-01,2024,18,Thursday,40,43.0,3.0,True,41.15,1.19,delivered,True
bff93d74-0719-47b3-99d0-dbff96460ae8,7634650c-d7d5-4b95-8bf9-6214c323c454,DASHER_00929,2023-05-06 19:19:00,2023-05-06,2023-05-01,2023,19,Saturday,28,14.0,-14.0,True,22.53,4.22,delivered,True
1ef786ca-a993-4eea-abab-6daf6dc55fad,e0cdf24e-971c-45e5-8caf-e86683e62ffb,DASHER_03403,2022-08-29 18:09:00,2022-08-29,2022-08-01,2022,18,Monday,22,22.0,0.0,True,49.83,2.7,delivered,True
53557bfd-2854-4650-8db2-9566286c6e33,8e0244c3-7c97-42d3-bfcf-dacdf9407fdc,DASHER_02263,2022-10-24 14:58:00,2022-10-24,2022-10-01,2022,14,Monday,15,10.0,-16.0,True,13.98,6.4,delivered,True
01412f2f-6594-4b6b-9dfa-a7dbba7cff05,759dd5ad-889c-4959-b255-cd76834b8c25,DASHER_04808,2024-04-29 12:50:00,2024-04-29,2024-04-01,2024,12,Monday,20,19.0,-1.0,True,9.19,7.05,delivered,True
1cd1de1a-f0d1-4738-94d0-dbaade5b2670,188181c3-f32a-482f-8310-f4d562340405,DASHER_02636,2024-07-03 17:22:00,2024-07-03,2024-07-01,2024,17,Wednesday,29,19.0,-10.0,True,50.61,7.08,delivered,True
f2673c8e-8c68-486e-a2b2-bd24ea290925,7df9f445-e37b-4d08-bfe8-d24aa32e5cbc,DASHER_03123,2023-05-05 18:14:00,2023-05-05,2023-05-01,2023,18,Friday,40,31.0,-9.0,True,11.79,6.74,delivered,True
da45367b-1085-4a9d-a829-037aa29c7c97,10976c04-b5e2-496a-96b7-6e540faed368,DASHER_03606,2022-11-08 16:02:00,2022-11-08,2022-11-01,2022,16,Tuesday,42,63.0,21.0,False,56.22,1.69,delivered,True
0961b042-ebcb-4cd9-89b0-31ce4a21fc29,a1fc7ab1-a46d-4922-a458-08cf122abb7c,DASHER_02171,2024-07-24 01:09:00,2024-07-24,2024-07-01,2024,1,Wednesday,25,34.0,9.0,False,16.33,5.54,delivered,True
41fc4082-b9f7-4091-9b24-53cc67fef942,a37a1be3-2ab8-4aa3-be3b-c506e45de798,DASHER_03997,2023-11-04 21:54:00,2023-11-04,2023-11-01,2023,21,Saturday,45,16.0,-29.0,True,20.69,7.1,delivered,True
59ec41a8-bbd4-4738-ba2e-f35e5cd43d41,c7dae061-4e20-4b09-8a64-bbdef93429bb,DASHER_00740,2022-03-15 18:15:00,2022-03-15,2022-03-01,2022,18,Tuesday,22,10.0,-19.0,True,22.25,5.43,delivered,True
d49ff595-2d57-4f4f-a576-6c3364421bef,a755f275-b94b-4c7f-b233-d6a19817c5f0,DASHER_02403,2022-07-25 15:44:00,2022-07-25,2022-07-01,2022,15,Monday,36,36.0,0.0,True,31.96,3.5,delivered,True
ff3d01ad-35a4-4a2c-95e7-7e21e824ca85,eb880677-9120-40b4-a878-424e5cb1004b,DASHER_00646,2024-06-01 08:33:00,2024-06-01,2024-06-01,2024,8,Saturday,24,33.0,9.0,False,17.12,5.77,delivered,True
4807d2ed-a651-49d0-8123-b1dff418d2f5,98950463-b9e8-4a60-956c-1c6be4c6b8a5,DASHER_00076,2024-10-16 22:09:00,2024-10-16,2024-10-01,2024,22,Wednesday,30,31.0,1.0,True,49.75,7.28,delivered,True
18742d2a-0dc0-46c8-92ff-b5a61de376e1,61393ab1-25bf-4281-9b35-eff55f0ed03b,DASHER_02450,2024-08-10 21:43:00,2024-08-10,2024-08-01,2024,21,Saturday,31,30.0,-1.0,True,18.37,2.74,delivered,True
82265a73-32db-4bc0-aeeb-07e1179225f2,208263ca-559a-47b8-8c41-c91c311739c6,DASHER_04708,2023-09-11 09:24:00,2023-09-11,2023-09-01,2023,9,Monday,28,31.0,3.0,True,22.83,3.06,delivered,True
441ea99c-386e-4144-ab85-e88ecb4a3c6a,d4308e7b-3a78-4c99-8c00-94d3d130a68d,DASHER_00401,2023-08-28 02:53:00,2023-08-28,2023-08-01,2023,2,Monday,31,23.0,-8.0,True,49.49,6.82,delivered,True
c455a460-0402-4c70-a646-899daa9ef133,166c4f60-ee78-432b-8fcf-7cb3effa9d96,DASHER_02053,2023-08-10 20:14:00,2023-08-10,2023-08-01,2023,20,Thursday,27,19.0,-8.0,True,19.79,5.73,delivered,True
0718e595-e6e8-4d45-aed3-c28384d6a710,c98e2d4e-6ae8-4bd0-92f9-59e7627569b5,DASHER_04747,2022-10-08 18:57:00,2022-10-08,2022-10-01,2022,18,Saturday,33,31.0,-2.0,True,23.24,7.36,delivered,True
feb5c8d9-bac6-4346-ae48-50d525e2bb68,6a0ce821-443b-4d56-aae0-e37652cc0867,DASHER_04348,2023-11-01 20:11:00,2023-11-01,2023-11-01,2023,20,Wednesday,38,44.0,6.0,False,53.61,4.5,delivered,True
7bdf9d84-867a-40da-95e4-b105326264a1,96c2f2de-d822-4d6e-83dc-fb8df9a1e163,DASHER_02774,2023-07-13 21:16:00,2023-07-13,2023-07-01,2023,21,Thursday,51,37.0,-14.0,True,34.13,1.52,delivered,True
14891bd1-5a1c-47d0-a1bf-85b0956c7161,1d77fe73-da38-45a4-be9c-e753a6ad9f2a,DASHER_02996,2023-04-08 21:46:00,2023-04-08,2023-04-01,2023,21,Saturday,26,21.0,-5.0,True,15.07,1.62,delivered,True
5c3b875f-5bb9-4167-a469-cc5a25ef13a5,c81b7b7a-10c6-4d0c-9c9e-5f4ede59bc02,DASHER_04788,2024-03-19 01:34:00,2024-03-19,2024-03-01,2024,1,Tuesday,40,48.0,8.0,False,12.81,3.59,delivered,True
